,Rank_MOJO_by_Box_office,Title,Lifetime Gross_MOJO,Max Theaters,Opening Box,Opening Th,Release Date,Distributor,User Rating_IMDB,Metacritic,Number of Votes_IMDB,Running Time,Release Date_IMDB,Director
312,457,Outrage,"$287,198",18,"$32,589",5,"May 8, 2009",Magnolia Pictures,7.5,64.0,"1,579",1h 30min,24 April 2009 (USA),Kirby Dick
313,460,The Interrupters,"$282,448",10,"$7,920",1,"Jul 29, 2011",The Cinema Guild,7.5,86.0,"3,420",2h 5min,12 August 2011 (UK),Steve James
314,463,American Hardcore,"$279,665",19,"$18,102",1,"Sep 22, 2006",Sony Pictures Classics,7.4,69.0,"3,275",1h 40min,22 September 2006 (USA),Paul Rachman
315,464,"20,000 Days on Earth","$279,558",28,"$27,879",1,"Sep 17, 2014",Drafthouse Films,7.5,83.0,"10,786",1h 37min,18 November 2014 (USA),Iain Forsyth
316,465,The Unknown Known,"$276,497",80,"$64,315",18,"Apr 4, 2014",RADiUS-TWC,7.0,69.0,"3,865",1h 43min,16 January 2014 (Italy),Errol Morris
317,468,Taxi to the Dark Side,"$274,661",20,"$10,930",2,"Jan 18, 2008",THINKFilm,7.4,82.0,"14,728",1h 46min,23 January 2009 (Brazil),Alex Gibney
318,469,Planet B-Boy,"$273,870",14,"$27,777",2,"Mar 21, 2008",Elephant Eye Films,7.7,63.0,961,1h 35min,21 March 2008 (USA),Benson Lee
319,470,The Black Power Mixtape 1967-1975,"$273,749",13,"$17,316",2,"Sep 9, 2011",IFC Films,7.6,73.0,"2,065",1h 40min,1 April 2011 (Sweden),Göran Olsson
320,473,Countdown to Zero,"$272,040",28,"$41,307",3,"Jul 23, 2010",Magnolia Pictures,6.9,70.0,"2,151",1h 31min,30 July 2010 (USA),Lucy Walker
321,474,Deep Water,"$271,143",17,"$22,632",2,"Aug 24, 2007",IFC Films,7.8,80.0,"2,932",1h 32min,15 December 2006 (UK),Louise Osmond
322,475,One Child Nation,"$270,128",36,"$20,523",2,"Aug 9, 2019",Amazon Studios,7.5,85.0,"4,215",1h 28min,9 August 2019 (USA),Nanfu Wang
323,477,Surfwise,"$269,994",13,"$10,304",1,"May 9, 2008",Magnolia Pictures,7.2,72.0,"1,431",1h 33min,9 May 2008 (USA),Doug Pray
324,481,Conan O'Brien Can't Stop,"$267,965",24,"$97,043",24,"Jun 24, 2011",Abramorama,7.0,64.0,"6,020",1h 29min,18 August 2011 (Denmark),Rodman Flender
325,484,Life and Debt,"$263,107",4,-,-,"Jun 16, 2001",New Yorker Films,7.5,67.0,949,1h 20min,28 February 2003 (UK),Stephanie Black
326,485,Minimalism: A Documentary About the Important Things,"$261,865",80,-,-,"May 24, 2016",GathrFilms,6.7,,"12,883",1h 18min,2016 (USA),Matt D'Avella
327,489,Hitchcock/Truffaut,"$260,430",23,"$28,178",3,"Dec 2, 2015",Cohen Media Group,7.4,79.0,"5,711",1h 19min,31 March 2016 (Russia),Kent Jones
328,490,The King,"$259,291",45,"$29,050",2,"Jun 22, 2018",Oscilloscope,6.6,70.0,941,1h 47min,22 June 2018 (USA),Eugene Jarecki
329,491,The Green Prince,"$258,237",24,"$32,698",4,"Sep 12, 2014",Music Box Films,7.2,67.0,"2,563",1h 41min,2014 (Israel),Nadav Schirman
330,492,Mayor of the Sunset Strip,"$257,315",18,"$21,722",7,"Mar 26, 2004",First Look International,7.0,71.0,"1,460",1h 34min,26 March 2004 (USA),George Hickenlooper
331,494,Alive Inside: A Story of Music and Memory,"$256,682",20,"$7,200",1,"Jul 18, 2014",Bond/360,8.2,67.0,"2,934",1h 18min,18 October 2014 (Germany),Michael Rossato-Bennett
332,495,Jean-Michel Basquiat: The Radiant Child,"$256,242",7,"$17,466",1,"Jul 21, 2010",Arthouse Films,7.8,74.0,"2,042",1h 28min,12 April 2011 (USA),Tamra Davis
333,496,"Life, Animated","$255,388",60,"$21,883",3,"Jul 1, 2016",The Orchard,7.5,75.0,"5,570",1h 32min,20 October 2016 (Denmark),Roger Ross Williams
334,497,The Yes Men,"$255,364",32,"$24,373",3,"Sep 24, 2004",United Artists,6.9,68.0,"5,557",1h 23min,13 January 2005 (Netherlands),Dan Ollman
335,499,The War Tapes,"$254,190",9,"$12,268",1,"Jun 2, 2006",-,7.3,77.0,"1,213",1h 37min,29 April 2006 (USA),Deborah Scranton
336,500,National Gallery,"$253,941",15,"$10,049",1,"Nov 5, 2014",Zipporah Films,7.3,89.0,"1,365",3h,8 October 2014 (France),Frederick Wiseman
337,502,Life in a Day,"$252,788",19,"$45,202",11,"Jul 29, 2011",National Geographic Entertainment,7.7,,"14,761",1h 35min,27 January 2011 (USA),Loressa Clisby
338,504,Meeting Gorbachev,"$251,837",42,"$18,128",2,"May 3, 2019",1091 Media,7.2,73.0,"1,516",1h 30min,3 May 2019 (USA),Werner Herzog
339,506,Joe Strummer: The Future Is Unwritten,"$248,362",17,"$20,880",2,"Nov 2, 2007",IFC Films,7.6,79.0,"3,721",2h 4min,18 May 2007 (Ireland),Julien Temple
340,507,Promises,"$247,948",5,-,-,"Mar 15, 2002",Cowboy Pictures,8.4,80.0,"2,552",1h 46min,20 December 2001 (Netherlands),B.Z. Goldberg
341,508,The Galapagos Affair: Satan Came to Eden,"$247,159",15,"$5,185",1,"Apr 4, 2014",Zeitgeist Films,6.7,69.0,"1,309",2h,25 July 2014 (UK),Daniel Geller
342,511,When You're Strange,"$246,078",8,"$66,833",8,"Apr 9, 2010",Abramorama,7.7,,"9,049",1h 26min,12 May 2010 (USA),Tom DiCillo
343,513,The Summit,"$243,550",70,"$20,904",8,"Oct 4, 2013",IFC Films,6.9,63.0,"4,483",1h 35min,22 November 2013 (Ireland),Nick Ryan
344,514,Oasis: Supersonic,"$242,867",106,"$16,880",14,"Oct 26, 2016",A24,7.9,71.0,"9,957",2h 2min,26 October 2016 (USA),Mat Whitecross
345,517,49 Up,"$241,772",21,"$53,277",21,"Oct 6, 2006",First Run,8.2,84.0,"2,606",3h,TV Movie 15 September 2005,Michael Apted
346,518,Manufactured Landscapes,"$240,239",12,"$9,129",1,"Jun 20, 2007",Zeitgeist Films,7.3,79.0,"2,778",1h 26min,13 June 2007 (Belgium),Jennifer Baichwal
347,519,The Beaches of Agnès,"$239,711",7,"$19,032",3,"Jul 2, 2009",The Cinema Guild,8.0,86.0,"3,232",1h 52min,17 December 2008 (France),Agnès Varda
348,522,Generation Wealth,"$237,709",45,"$35,834",4,"Jul 20, 2018",Magnolia Pictures,6.6,,"3,638",1h 45min,20 July 2018 (USA),Lauren Greenfield
349,524,El Bulli: Cooking in Progress,"$237,181",10,"$12,756",1,"Jul 27, 2011",-,6.4,61.0,"1,067",1h 48min,15 September 2011 (Germany),Gereon Wetzel
350,525,Deepsea Challenge,"$235,659",304,"$149,879",304,"Aug 8, 2014",-,6.8,,"1,588",1h 31min,21 August 2014 (Australia),John Bruno
351,526,Art and Craft,"$235,037",20,"$20,879",2,"Sep 19, 2014",Oscilloscope,7.1,68.0,"1,462",1h 29min,18 March 2015 (France),Sam Cullman
352,529,My Kid Could Paint That,"$231,574",20,"$26,290",8,"Oct 5, 2007",Sony Pictures Classics,7.1,74.0,"3,166",1h 22min,14 December 2007 (UK),Amir Bar-Lev
353,530,A Place at the Table,"$231,378",35,"$92,257",35,"Mar 1, 2013",Magnolia Pictures,6.8,68.0,"1,115",1h 24min,1 March 2013 (USA),Kristi Jacobson
354,531,Matangi/Maya/M.I.A,"$230,808",9,"$43,573",2,"Sep 28, 2018",Abramorama,7.5,70.0,"1,683",1h 36min,28 September 2018 (USA),Steve Loveridge
355,532,Standard Operating Procedure,"$229,117",21,"$14,108",2,"Apr 25, 2008",Sony Pictures Classics,7.4,70.0,"3,804",1h 56min,29 May 2008 (Germany),Errol Morris
356,540,Into the Abyss,"$223,880",30,"$47,559",12,"Nov 11, 2011",IFC Films,7.3,74.0,"15,641",1h 47min,30 March 2012 (UK),Werner Herzog
357,541,Never Surrender: A Galaxy Quest Documentary,"$222,971",556,-,-,"Nov 26, 2019",Fathom Events,7.6,,"1,178",1h 35min,26 November 2019 (USA),Jack Bennett
358,543,New York Doll,"$219,672",11,"$17,583",5,"Oct 28, 2005",First Independent Pictures,7.7,72.0,"1,656",1h 15min,28 October 2005 (USA),Greg Whiteley
359,552,Supermensch: The Legend of Shep Gordon,"$213,064",46,"$23,017",4,"Jun 6, 2014",RADiUS-TWC,7.4,64.0,"3,133",1h 25min,6 June 2014 (USA),Beth Aala
360,555,The House I Live In,"$210,752",12,"$16,453",2,"Oct 5, 2012",Abramorama,7.9,77.0,"5,147",1h 48min,5 October 2012 (USA),Eugene Jarecki
361,556,Mondovino,"$209,618",8,"$9,840",1,"Mar 23, 2005",THINKFilm,7.1,67.0,"1,400",2h 15min,3 November 2004 (France),Jonathan Nossiter
362,563,Sweetgrass,"$207,473",9,"$9,870",1,"Jan 6, 2010",The Cinema Guild,6.8,80.0,941,1h 41min,22 April 2011 (UK),Ilisa Barbash
363,568,Iraq in Fragments,"$204,462",12,"$24,435",7,"Nov 8, 2006",Arab Film Distribution,7.3,84.0,"1,391",1h 34min,19 January 2007 (UK),James Longley
364,569,Darwin's Nightmare,"$203,746",6,"$8,072",1,"Aug 3, 2005",International Film Circuit,7.5,84.0,"5,329",1h 47min,21 January 2005 (Austria),Hubert Sauper
365,571,Deliver Us from Evil,"$201,275",24,"$15,656",4,"Oct 13, 2006",Lionsgate,7.9,86.0,"9,753",1h 41min,22 February 2007 (Netherlands),Amy Berg
366,574,Risk,"$200,219",45,"$76,327",34,"May 5, 2017",Neon,6.3,72.0,"2,047",1h 26min,12 May 2017 (USA),Laura Poitras
367,575,Cutie and the Boxer,"$200,036",16,"$21,098",3,"Aug 16, 2013",RADiUS-TWC,7.2,83.0,"4,467",1h 22min,1 August 2013 (New Zealand),Zachary Heinzerling
368,576,What Would Jesus Buy?,"$200,010",25,"$9,527",1,"Nov 16, 2007",Warrior Poets Releasing,6.4,,"1,129",1h 31min,16 November 2007 (USA),Rob VanAlkemade
369,577,Studio 54,"$199,767",14,"$14,909",1,"Oct 5, 2018",Zeitgeist Films,7.0,70.0,"2,188",1h 38min,5 October 2018 (USA),Matt Tyrnauer
370,578,South of the Border,"$198,600",12,"$21,545",1,"Jun 25, 2010",Cinema Libre Studio,7.0,,"2,823",1h 18min,3 June 2010 (Argentina),Oliver Stone
371,581,The Yes Men Fix the World,"$194,533",16,"$1,242",2,"Sep 25, 2009",Shadow Distribution,7.6,71.0,"5,094",1h 27min,7 August 2009 (UK),Andy Bichlbaum
372,584,The Final Year,"$191,900",39,"$67,971",35,"Jan 19, 2018",Magnolia Pictures,6.4,67.0,"2,744",1h 29min,19 January 2018 (USA),Greg Barker
373,587,Client 9: The Rise and Fall of Eliot Spitzer,"$189,416",17,"$16,962",3,"Nov 5, 2010",Magnolia Pictures,7.4,68.0,"2,167",1h 57min,4 March 2011 (UK),Alex Gibney
374,590,Waste Land,"$187,716",8,"$9,806",1,"Oct 29, 2010",Arthouse Films,7.9,78.0,"8,250",1h 39min,21 January 2011 (Brazil),Lucy Walker
375,596,Whose Streets?,"$182,799",39,"$43,804",24,"Aug 11, 2017",Magnolia Pictures,5.3,79.0,"1,186",1h 42min,11 August 2017 (USA),Sabaah Folayan
376,597,Winnebago Man,"$181,039",12,"$16,469",2,"Jul 9, 2010",Kino International,7.2,71.0,"4,581",1h 25min,14 March 2009 (USA),Ben Steinbauer
377,598,An Honest Liar,"$180,590",15,"$13,821",2,"Mar 6, 2015",Abramorama,7.5,76.0,"9,137",1h 30min,2 November 2014 (UK),Tyler Measom
378,600,The Bridge,"$179,780",19,"$49,313",19,"Oct 27, 2006",First Stripe Productions,7.2,,"10,938",1h 34min,16 February 2007 (UK),Eric Steel
379,604,Chicago 10,"$177,490",14,"$42,724",14,"Feb 29, 2008",Roadside Attractions,7.3,69.0,"1,210",1h 50min,18 January 2007 (USA),Brett Morgen
380,607,Casino Jack and the United States of Money,"$176,865",21,"$28,234",9,"May 7, 2010",Magnolia Pictures,7.1,68.0,"1,564",1h 58min,January 2010 (USA),Alex Gibney
381,609,An Unreasonable Man,"$176,647",11,"$9,813",1,"Jan 31, 2007",IFC Films,7.9,75.0,"1,644",2h 2min,24 January 2006 (USA),Henriette Mantel
382,613,SOMM,"$174,197",9,"$28,050",5,"Jun 21, 2013",The Samuel Goldwyn Company,7.0,,"4,341",1h 34min,21 June 2013 (Canada),Jason Wise
383,617,All Things Must Pass,"$172,394",14,"$19,001",2,"Oct 16, 2015",Gravitas Ventures,7.3,73.0,"2,956",1h 34min,16 October 2015 (USA),Colin Hanks
384,619,David Lynch: The Art Life,"$171,419",8,"$10,823",1,"Mar 31, 2017",Janus Films,7.2,75.0,"4,951",1h 28min,20 April 2017 (Denmark),Rick Barnes
385,626,We Steal Secrets,"$166,243",25,"$27,689",4,"May 24, 2013",Focus World,6.9,76.0,"7,376",2h 10min,11 July 2013 (Germany),Alex Gibney
386,628,De fem benspænd,"$165,845",3,"$8,940",1,"May 26, 2004",Koch Lorber Films,7.5,79.0,"8,023",1h 30min,21 November 2003 (Denmark),Jørgen Leth
387,629,De Palma,"$165,237",19,"$30,355",3,"Jun 10, 2016",A24,7.4,83.0,"4,794",1h 50min,23 September 2016 (UK),Noah Baumbach
388,631,Nas: Time Is Illmatic,"$164,540",43,"$23,200",2,"Oct 1, 2014",Tribeca Film,7.1,72.0,"2,740",1h 14min,3 October 2014 (USA),One9
389,633,Nostalgia for the Light,"$163,962",6,"$5,664",1,"Jan 13, 2011",Icarus Films,7.6,91.0,"4,875",1h 30min,17 March 2011 (USA),Patricio Guzmán
390,634,Keep on Keepin' On,"$163,745",9,"$12,930",2,"Sep 19, 2014",RADiUS-TWC,7.8,77.0,937,1h 24min,5 March 2015 (Netherlands),Alan Hicks
391,638,The Witness,"$159,305",15,"$14,523",1,"Jun 3, 2016",FilmRise,7.0,79.0,"3,917",1h 29min,3 June 2016 (USA),James D. Solomon
392,641,Ex Libris: New York Public Library,"$158,192",15,"$10,926",1,"Sep 13, 2017",Zipporah Films,7.4,91.0,"1,069",3h 17min,1 November 2017 (France),Frederick Wiseman
393,643,Chasing Madoff,"$157,612",9,-,-,"Aug 26, 2011",Cohen Media Group,6.3,,"1,008",1h 31min,26 August 2011 (USA),Jeff Prosserman
394,647,One Day in September,"$156,818",5,"$15,149",5,"Nov 17, 2000",Sony Pictures Classics,7.8,82.0,"5,604",1h 34min,12 July 2001 (Germany),Kevin Macdonald
395,650,The Gleaners & I,"$155,320",4,"$12,655",2,"Mar 7, 2001",Zeitgeist Films,7.7,83.0,"5,822",1h 22min,7 July 2000 (France),Agnès Varda
396,651,Bra Boys,"$155,056",23,"$45,589",23,"Apr 11, 2008",Slowhand Cinema Releasing,6.2,,"1,195",1h 30min,15 March 2007 (Australia),Sunny Abberton
397,652,Magic Trip: Ken Kesey's Search for a Kool Place,"$154,521",18,"$14,367",4,"Aug 5, 2011",Magnolia Pictures,6.8,,"1,389",1h 47min,5 August 2011 (USA),Alison Ellwood
398,655,Eames: The Architect & The Painter,"$153,088",12,-,-,"Nov 11, 2011",First Run,7.2,63.0,974,1h 25min,3 August 2012 (UK),Jason Cohn
399,656,Backstreet Boys: Show 'Em What You're Made Of,"$153,068",60,"$153,068",60,"Jan 30, 2015",Gravitas Ventures,7.6,,"1,418",1h 41min,30 January 2015 (USA),Stephen Kijak
400,664,Revenge of the Electric Car,"$150,886",11,"$17,482",2,"Oct 21, 2011",Area 23a,7.2,63.0,"1,745",1h 30min,20 July 2012 (UK),Chris Paine
401,665,Stoked: The Rise and Fall of Gator,"$150,268",13,"$10,998",1,"Aug 22, 2003",Palm Pictures,7.2,69.0,"1,024",1h 22min,25 June 2004 (UK),Helen Stickler
402,666,Seasons,"$150,092",22,"$27,134",13,"Nov 25, 2016",Music Box Films,7.3,67.0,"1,470",1h 36min,25 November 2016 (USA),Jacques Perrin
403,667,Cocaine Cowboys,"$150,056",14,"$36,295",12,"Oct 27, 2006",Magnolia Pictures,7.8,,"12,274",1h 58min,23 November 2007 (UK),Billy Corben
404,668,Eating Animals,"$149,614",25,"$34,524",2,"Jun 15, 2018",IFC Films,7.3,69.0,919,1h 34min,15 June 2018 (USA),Christopher Dillon Quinn
405,669,Michael Moore in TrumpLand,"$149,090",51,"$50,200",2,"Oct 19, 2016",-,5.6,,"3,719",1h 13min,21 October 2016 (USA),Michael Moore
406,672,Jonestown: The Life and Death of Peoples Temple,"$148,292",5,"$7,482",1,"Oct 20, 2006",Seventh Art Releasing,7.8,79.0,"4,951",1h 26min,26 April 2006 (USA),Stanley Nelson
407,676,Framing John DeLorean,"$145,625",28,"$6,991",1,"Jun 7, 2019",IFC Films,6.5,67.0,"1,262",1h 49min,7 June 2019 (USA),Don Argott
408,678,Narco Cultura,"$145,088",46,"$6,093",1,"Nov 22, 2013",Cinedigm Entertainment Group,7.2,74.0,"2,366",1h 43min,21 March 2014 (Mexico),Shaul Schwarz
409,679,Once in a Lifetime: The Extraordinary Story of the New York Cosmos,"$144,601",12,"$9,805",1,"Jul 7, 2006",Miramax,7.2,67.0,"1,426",1h 37min,7 July 2006 (USA),Paul Crowder
410,681,Kids for Cash,"$143,178",12,"$36,639",4,"Feb 7, 2014",Paladin,7.1,75.0,"1,869",1h 42min,1 August 2015 (Germany),Robert May
411,682,Flow: For Love of Water,"$142,569",11,"$3,644",1,"Mar 21, 2008",Oscilloscope,7.6,67.0,"1,110",1h 24min,15 December 2011 (Croatia),Irena Salina
412,683,Waco: The Rules of Engagement,"$142,193",5,-,-,"Feb 28, 1997",-,7.9,,"3,223",2h 45min,19 September 1997 (USA),William Gazecki
413,685,Gore Vidal: The United States of Amnesia,"$140,164",11,"$13,744",2,"May 23, 2014",IFC Films,7.7,72.0,"1,204",1h 23min,1 February 2015 (Belgium),Nicholas D. Wrathall
414,687,Mistaken for Strangers,"$138,991",9,"$87,743",9,"Mar 28, 2014",Abramorama,7.3,72.0,"4,282",1h 15min,28 March 2014 (USA),Tom Berninger
415,688,Good Ol' Freda,"$138,811",17,"$6,798",1,"Sep 6, 2013",Magnolia Pictures,7.3,,"1,849",1h 26min,6 September 2013 (USA),Ryan White
416,689,Ingrid Bergman: In Her Own Words,"$138,148",13,"$8,355",1,"Nov 13, 2015",Rialto Pictures,7.4,75.0,"1,948",1h 54min,27 August 2015 (Denmark),Stig Björkman
417,691,Is the Man Who Is Tall Happy?,"$137,042",15,"$31,800",3,"Nov 22, 2013",IFC Films,7.1,76.0,"3,360",1h 28min,25 November 2013 (USA),Michel Gondry
418,692,The Other Dream Team,"$135,228",14,"$19,821",2,"Sep 28, 2012",The Film Arcade,8.4,69.0,"3,429",1h 29min,28 September 2012 (USA),Marius A. Markevicius
419,693,Concert for George,"$134,600",105,"$67,711",105,"Oct 3, 2003",-,8.6,82.0,"1,834",2h 26min,Video 3 March 2004,David Leland
420,697,Naqoyqatsi,"$133,058",9,"$17,154",2,"Oct 18, 2002",Miramax,6.6,,"5,369",1h 29min,21 January 2003 (Czech Republic),Godfrey Reggio
421,698,"Hare Krishna! The Mantra, the Movement and the Swami Who Started It","$133,006",54,"$22,310",1,"Jun 16, 2017",Abramorama,9.4,,"1,294",1h 30min,15 December 2017 (India),John Griesser
422,699,The Devil Came on Horseback,"$132,782",7,"$11,143",1,"Jul 25, 2007",International Film Circuit,7.7,78.0,"1,541",1h 25min,11 April 2008 (UK),Ricki Stern
423,701,Dawson City: Frozen Time,"$132,369",8,-,-,"Oct 2, 2016",Kino Lorber,7.5,86.0,"1,523",2h,6 September 2018 (Netherlands),Bill Morrison
424,702,Deep Blue,"$132,261",5,"$8,373",2,"Jun 3, 2005",Miramax,7.4,71.0,"2,826",1h 23min,29 January 2004 (Germany),Andy Byatt
425,703,Kumaré,"$132,160",9,"$9,601",1,"Jun 20, 2012",Kino Lorber,7.5,,"4,705",1h 24min,13 March 2011 (USA),Vikram Gandhi
426,704,How to Survive a Plague,"$132,055",15,"$28,250",4,"Sep 21, 2012",IFC Films,7.6,86.0,"3,738",1h 50min,8 November 2013 (UK),David France
427,706,Until the Light Takes Us,"$130,441",3,"$7,246",1,"Dec 4, 2009",Variance Films,7.1,,"5,545",1h 33min,12 August 2010 (Germany),Aaron Aites
428,707,Requiem for the American Dream,"$130,152",14,-,-,"Jan 29, 2016",The Film Collaborative,8.1,,"8,475",1h 13min,20 October 2016 (Denmark),Peter D. Hutchison
429,708,4 Little Girls,"$130,146",4,"$13,528",1,"Jul 9, 1997",-,7.8,88.0,"2,798",1h 42min,9 July 1997 (USA),Spike Lee
430,709,Be Here to Love Me: A Film About Townes Van Zandt,"$129,988",5,"$9,098",1,"Dec 2, 2005",Palm Pictures,7.8,69.0,"1,208",1h 39min,22 December 2005 (Germany),Margaret Brown
431,710,I Called Him Morgan,"$128,986",11,"$12,902",1,"Mar 24, 2017",Submarine Deluxe,7.3,90.0,"1,444",1h 32min,24 March 2017 (USA),Kasper Collin
432,712,City of Ghosts,"$128,015",18,"$13,601",2,"Jul 7, 2017",IFC Films,7.4,86.0,"3,422",1h 32min,21 July 2017 (UK),Matthew Heineman
433,715,A Band Called Death,"$127,257",16,"$34,839",15,"Jun 28, 2013",Drafthouse Films,7.5,77.0,"3,498",1h 36min,28 June 2013 (USA),Mark Christopher Covino
434,716,Dig!,"$127,067",10,"$20,437",2,"Oct 1, 2004",Palm Pictures,7.8,76.0,"5,949",1h 47min,13 April 2005 (France),Ondi Timoner
435,717,Unknown White Male,"$126,836",11,"$24,591",4,"Feb 24, 2006",Wellspring Media,6.6,65.0,"1,011",1h 28min,January 2005 (USA),Rupert Murray
436,718,Woodstock,"$126,562",781,-,-,"Aug 15, 2019",Fathom Events,8.2,95.0,"15,763",3h 4min,26 March 1970 (USA),Michael Wadleigh
437,718,Woodstock,"$126,562",781,-,-,"Aug 15, 2019",Fathom Events,7.6,67.0,"1,304",1h 46min,TV Movie 31 July 2019,Barak Goodman
438,867,Woodstock,"$84,440",11,"$8,150",2,"May 24, 2019",PBS Distribution,8.2,95.0,"15,763",3h 4min,26 March 1970 (USA),Michael Wadleigh
439,867,Woodstock,"$84,440",11,"$8,150",2,"May 24, 2019",PBS Distribution,7.6,67.0,"1,304",1h 46min,TV Movie 31 July 2019,Barak Goodman
440,723,The Square,"$124,244",9,"$16,359",1,"Oct 25, 2013",Noujaim Films,8.1,84.0,"8,508",1h 35min,10 January 2014 (UK),Jehane Noujaim
441,727,Manda Bala (Send a Bullet),"$122,905",9,"$14,030",1,"Aug 17, 2007",City Lights Pictures,7.2,71.0,"1,118",1h 25min,19 April 2009 (Greece),Jason Kohn
442,728,The Punk Singer,"$122,742",24,"$24,729",3,"Nov 29, 2013",IFC Films,7.4,75.0,"2,694",1h 21min,23 May 2014 (Ireland),Sini Anderson
443,729,The Kingmaker,"$122,587",18,"$19,523",2,"Nov 8, 2019",Greenwich Entertainment,7.6,76.0,"1,284",1h 41min,8 November 2019 (USA),Lauren Greenfield
444,735,Fire at Sea,"$120,933",7,-,-,"Sep 18, 2016",Kino Lorber,6.7,87.0,"5,333",1h 54min,18 February 2016 (Italy),Gianfranco Rosi
445,738,Examined Life,"$120,712",6,"$12,085",1,"Feb 25, 2009",Zeitgeist Films,7.1,64.0,"1,630",1h 27min,20 November 2009 (UK),Astra Taylor
446,741,Do I Sound Gay?,"$119,388",18,"$10,461",1,"Jul 10, 2015",IFC Films,5.7,65.0,"1,802",1h 17min,10 July 2015 (USA),David Thorpe
447,743,The Great Buster,"$118,344",14,"$7,107",2,"Oct 5, 2018",Cohen Media Group,7.5,71.0,"1,026",1h 42min,5 October 2018 (USA),Peter Bogdanovich
448,746,Ryuichi Sakamoto: Coda,"$117,460",9,"$12,827",1,"Jul 6, 2018",MUBI,7.7,78.0,"1,077",1h 40min,14 June 2018 (South Korea),Stephen Nomura Schible
449,749,Beware of Mr. Baker,"$116,476",15,"$12,195",1,"Nov 28, 2012",-,7.6,78.0,"3,210",1h 40min,17 May 2013 (UK),Jay Bulger
450,750,The Undefeated,"$116,381",14,"$65,132",10,"Jul 15, 2011",Arc Entertainment,2.0,,"1,887",1h 58min,15 July 2011 (USA),Steve Bannon
451,753,War Dance,"$115,210",10,"$15,471",3,"Nov 9, 2007",THINKFilm,7.8,68.0,"1,113",1h 45min,25 April 2008 (Taiwan),Sean Fine
452,755,Sound and Fury,"$114,882",6,"$7,104",2,"Oct 25, 2000",Artistic License,7.9,85.0,943,1h 20min,21 January 2000 (USA),Josh Aronson
453,760,Abacus: Small Enough to Jail,"$113,278",8,"$12,528",1,"May 19, 2017",PBS Distribution,7.2,73.0,"2,615",1h 28min,7 July 2017 (UK),Steve James
454,763,Spinning Plates,"$112,449",6,"$20,717",3,"Oct 25, 2013",The Film Arcade,7.1,65.0,915,1h 33min,25 October 2013 (USA),Joseph Levy
455,765,"Hale County This Morning, This Evening","$112,282",8,"$8,640",2,"Sep 14, 2018",The Cinema Guild,6.3,85.0,"1,754",1h 16min,14 September 2018 (USA),RaMell Ross
456,767,Marwencol,"$112,036",6,"$3,276",1,"Oct 8, 2010",The Cinema Guild,7.6,82.0,"3,380",1h 23min,8 October 2010 (USA),Jeff Malmberg
457,768,Rich Hill,"$111,376",28,"$9,635",1,"Aug 1, 2014",The Orchard,7.2,75.0,"2,177",1h 31min,1 August 2014 (USA),Andrew Droz Palermo
458,770,The Overnighters,"$110,763",23,"$4,324",1,"Oct 10, 2014",Drafthouse Films,7.4,89.0,"2,323",1h 42min,31 October 2014 (UK),Jesse Moss
459,772,Word Wars,"$110,617",5,"$7,559",1,"May 28, 2004",Seventh Art Releasing,6.9,61.0,"1,643",1h 20min,January 2004 (USA),Eric Chaikin
460,774,5 Broken Cameras,"$109,983",9,"$6,674",1,"May 30, 2012",Kino Lorber,7.9,78.0,"5,701",1h 34min,2011 (Israel),Emad Burnat
461,775,Best Worst Movie,"$109,895",2,"$5,503",1,"Apr 23, 2010",Abramorama,7.3,61.0,"7,643",1h 33min,14 March 2009 (USA),Michael Paul Stephenson
462,776,Zero Days,"$109,649",20,"$49,110",18,"Jul 8, 2016",Magnolia Pictures,7.8,77.0,"8,679",1h 56min,8 July 2016 (USA),Alex Gibney
463,779,The Look of Silence,"$109,089",14,"$6,616",1,"Jul 17, 2015",Drafthouse Films,8.3,92.0,"11,533",1h 43min,17 July 2015 (USA),Joshua Oppenheimer
464,780,Trumbo,"$109,057",6,"$28,125",3,"Jun 27, 2008",The Samuel Goldwyn Company,7.4,71.0,"1,000",1h 36min,27 June 2008 (USA),Peter Askin
465,782,Bettie Page Reveals All,"$108,118",21,"$4,846",1,"Nov 22, 2013",Music Box Films,7.1,64.0,"1,348",1h 41min,22 November 2013 (USA),Mark Mori
466,785,Ivory Tower,"$106,771",12,"$17,857",2,"Jun 13, 2014",The Samuel Goldwyn Company,7.0,65.0,"1,271",1h 30min,4 May 2015 (Norway),Andrew Rossi
467,790,Big Star: Nothing Can Hurt Me,"$105,998",9,"$15,096",2,"Jul 3, 2013",Magnolia Pictures,7.1,69.0,"1,221",1h 53min,1 August 2014 (UK),Drew DeNicola
468,791,Steve Jobs: The Lost Interview,"$105,710",13,-,-,"Nov 16, 2011",Magnolia Pictures,8.0,,"1,749",1h 10min,6 September 2012 (Germany),Paul Sen
469,793,King Corn,"$105,422",8,"$6,753",1,"Oct 12, 2007",Balcony Releasing,7.0,70.0,"1,933",1h 28min,25 April 2009 (Japan),Aaron Woolf
470,796,Cold Case Hammarskjöld,"$104,965",15,"$18,285",10,"Aug 16, 2019",Magnolia Pictures,7.5,76.0,"1,844",2h 8min,16 August 2019 (USA),Mads Brügger
