,Rank_BX,Year,Title,Worldwide Box Office_BX,Domestic Box Office_BX,International Box Office_BX
804,797,2017,Le MaÃ®tre est l'enfant,"$228,770",,"$228,770"
805,798,2017,Jeremiah Tower: The Last Magnificent,"$228,153","$228,153",
806,799,2016,Mon maÃ®tre d'Ã©cole,"$227,808",,"$227,808"
807,800,2018,Studio 54,"$227,562","$199,767","$27,795"
808,,,,,,
809,801,2014,Advanced Style,"$226,903","$87,909","$138,994"
810,802,2004,Warren Miller's Journey,"$226,550",,"$226,550"
811,803,2019,Untouchable,"$226,184",,"$226,184"
812,804,2017,Rumble: The Indians who Rocked the World,"$226,136","$225,177",$959
813,805,2006,The Beauty Academy of Kabul,"$225,448","$225,448",
814,806,2017,British Museum Presents: Hokusai,"$225,122",,"$225,122"
815,807,2015,Jeremy Scott: The Peopleâs Designer,"$225,000","$225,000",
816,808,2003,Ônibus 174,"$223,016","$216,158","$6,858"
817,809,2015,"Indio, la pelÃ­cula","$222,429",,"$222,429"
818,810,2000,The Ballad of Ramblin' Jack,"$221,893","$221,893",
819,811,2017,All for One,"$221,048",,"$221,048"
820,812,2013,Titans of the Ice Age,"$221,034",,"$221,034"
821,813,2018,Midnight Oil 1984,"$220,961",,"$220,961"
822,814,2020,Tempos,"$220,121",,"$220,121"
823,815,2002,The Cockettes,"$220,077","$220,077",
824,816,2016,She jian shang de xin nian,"$220,000",,"$220,000"
825,817,2015,Tiny Giants,"$219,774",,"$219,774"
826,818,2012,Brooklyn Castle,"$219,407","$219,407",
827,819,1997,4 Little Girls,"$218,444","$218,444",
828,820,2018,Dark Money,"$217,932","$217,932",
829,821,2015,Le grand jour,"$216,702",,"$216,702"
830,822,2008,Chris and Don: A Love Story,"$216,110","$216,110",
831,823,2006,Once in a Lifetime: the Extraordinary Story of …,"$215,559","$144,601","$70,958"
832,824,2014,Supermensch: The Legend of Shep Gordon,"$215,245","$212,701","$2,544"
833,825,2019,Trabantem tam a zase zpÃ¡tky,"$213,990",,"$213,990"
834,826,2017,Exhibition On Screen: Michelangelo: Love and Death,"$213,728",,"$213,728"
835,827,2005,Naked Fame,"$213,621","$213,621",
836,828,2012,Somewhere Between,"$213,299","$213,299",
837,829,2004,Lightning in a Bottle,"$213,091","$201,574","$11,517"
838,830,2008,Call+Response,"$212,989","$212,989",
839,831,2015,The Ground We Won,"$212,842",,"$212,842"
840,832,2010,Winston Churchill: Walking with Destiny,"$212,601","$212,601",
841,833,2017,City of Ghosts,"$210,847","$128,015","$82,832"
842,834,2012,The House I Live In,"$210,752","$210,752",
843,835,1998,Ayn Rand: A Sense of Life,"$209,244","$209,244",
844,836,2017,Ex Libris: The New York Public Library,"$208,993","$163,364","$45,629"
845,837,2020,Slim & I,"$208,131",,"$208,131"
846,838,2010,Sweetgrass,"$207,473","$207,473",
847,839,2015,Humpback Whales 3D,"$207,473",,"$207,473"
848,840,2018,Exhibition On Screen: Cezanne,"$207,329",,"$207,329"
849,841,2018,Blue Planet II: One Ocean and The Deep,"$205,531",,"$205,531"
850,842,2017,Fatima: El Ultimo Misterio,"$205,337",,"$205,337"
851,843,2005,The Untold story of Emmett Louis Till,"$204,956","$204,956",
852,844,2013,Cutie and the Boxer,"$204,934","$199,274","$5,660"
853,845,2019,Hesburgh,"$204,709","$204,709",
854,846,2005,Darwin's Nightmare,"$203,746","$203,746",
855,847,2015,I bambini sanno,"$203,674",,"$203,674"
856,848,2017,It Was 50 Years Ago Today! The Beatles: Sgt. Pe…,"$203,505",,"$203,505"
857,849,2016,Poveda,"$203,124",,"$203,124"
858,850,2016,"Jheronimus Bosch, Touched by the Devil","$201,907","$172,533","$29,374"
859,851,2007,A Man Named Pearl,"$201,603","$201,603",
860,852,2006,Deliver Us From Evil,"$201,275","$201,275",
861,853,2005,HÃ¶llentour,"$200,927",,"$200,927"
862,854,2015,Merchants of Doubt,"$200,562","$192,362","$8,200"
863,855,2017,California Typewriter,"$200,379","$200,379",
864,856,2013,No Place on Earth,"$200,238","$200,238",
865,857,2019,Suzi Q,"$199,773",,"$199,773"
866,858,2017,My Year With Helen,"$199,226",,"$199,226"
867,859,2017,Still Tomorrow,"$198,798",,"$198,798"
868,860,2019,Daettongryeongeui 7 Sigan,"$198,424",,"$198,424"
869,861,2016,David Attenborough's Natural History Museum Alive,"$197,485",,"$197,485"
870,862,2015,pawoolbol,"$197,293",,"$197,293"
871,863,2017,Go With Your Gut,"$196,403",,"$196,403"
872,864,2009,The Yes Men Fix the World,"$195,037","$195,037",
873,865,2009,Herb & Dorothy,"$194,721","$194,721",
874,866,2019,Toni Kroos,"$193,703",,"$193,703"
875,867,2018,Boom for Real: The Late Teenage Years of Jean-M…,"$193,520","$166,616","$26,904"
876,868,2017,Take Every Wave: The Life of Laird Hamilton,"$192,407","$176,160","$16,247"
877,869,2020,MEKY,"$190,625",,"$190,625"
878,870,2004,Uncovered: The Whole Truth About the Iraq War,"$190,424","$190,424",
879,871,2014,Code Black,"$190,229","$190,229",
880,872,2017,Dark States: Heroin Town,"$190,115",,"$190,115"
881,873,2010,Client 9: The Rise and Fall of Eliot Spitzer,"$189,416","$189,416",
882,874,2019,Romantic Road,"$189,158",,"$189,158"
883,875,2018,Carnivores,"$189,126",,"$189,126"
884,876,2020,In My Blood it Runs,"$188,781",,"$188,781"
885,877,2016,Sheng Men,"$188,556",,"$188,556"
886,878,2018,Mr. Big,"$187,922",,"$187,922"
887,879,2010,Waste Land,"$187,716","$187,716",
888,880,2017,Micro Monsters 3D,"$187,680",,"$187,680"
889,881,2018,RÅ«ta,"$187,510",,"$187,510"
890,882,2013,The Anonymous People,"$187,459","$187,459",
891,883,2018,Owarani hito Miyazaki: Hayao,"$187,320","$187,320",
892,884,2015,Hubert von Goisern - Brenna tuat's schon lang,"$187,257",,"$187,257"
893,885,2011,Eames: The Architect and the Painter,"$186,996","$153,088","$33,908"
894,886,2020,The Doors: Break on Thru â A Celebration of Ray…,"$186,920","$186,920",
895,887,2009,Crude,"$186,445","$170,295","$16,150"
896,888,2019,Palladio,"$183,825",,"$183,825"
897,889,2011,JIG,"$183,790","$183,790",
898,890,2011,"The Man Nobody Knew: In Search of My Father, CI…","$183,342","$183,342",
899,891,2015,Lambert & Stamp,"$183,320","$183,320",
900,892,2000,Calle 54,"$183,140","$183,140",
901,893,2019,Walking on Water,"$183,120","$98,358","$84,762"
902,894,2017,"Ttureu, ithyeojin Kkumui Gieok","$182,910",,"$182,910"
903,895,2004,Lost Boys of Sudan,"$182,839","$182,839",
904,896,2017,Whose Streets?,"$182,799","$182,799",
905,897,2017,O Jardim da EsperanÃ§a,"$182,336",,"$182,336"
906,898,2005,My Date With Drew,"$181,041","$181,041",
907,899,2010,Winnebago Man,"$181,039","$181,039",
908,900,2015,An Honest Liar,"$180,590","$180,590",
909,,,,,,
910,901,2001,Chop Suey,"$179,914","$179,914",
911,902,2006,The Bridge,"$179,780","$179,780",
912,903,2008,Constantine's Sword,"$179,507","$179,507",
913,904,2007,Pete Seeger: The Power of Song,"$179,007","$178,968",$39
914,905,2018,Wonders of the Sea 3D,"$178,885",,"$178,885"
915,906,2005,Protocols of Zion,"$178,875","$178,875",
916,907,2010,Casino Jack and the United States of Money,"$176,865","$176,865",
917,908,2007,An Unreasonable Man,"$176,647","$176,647",
918,909,2004,Bush's Brain,"$176,610","$176,610",
919,910,2008,Chicago 10,"$176,545","$176,545",
920,911,2019,"Iyengar: The Man, Yoga, The Studentâs Journey","$176,387","$176,387",
921,912,2013,The Square,"$176,262","$124,244","$52,018"
922,913,2005,Touch the Sound,"$176,051","$176,051",
923,914,2011,American: The Bill Hicks Story,"$174,796","$174,796",
924,915,2008,Fuel,"$174,255","$174,255",
925,916,2018,Always at the Carlyle,"$174,251","$174,251",
926,917,2018,Life Is A Belief,"$173,603",,"$173,603"
927,918,2010,Freakonomics,"$172,867","$101,270","$71,597"
928,919,2014,Anita: Speaking Truth to Power,"$172,634","$172,634",
929,920,2009,Youssou N'Dour: I Bring What I Love,"$172,225","$172,225",
930,921,2014,Afternoon of a Faun: Tanaquil Le Clercq,"$172,120","$172,120",
931,922,2015,Landraub,"$172,002",,"$172,002"
932,923,2015,Chun-hui-mag-i,"$171,744",,"$171,744"
933,924,2019,Halston,"$171,406","$151,991","$19,415"
934,925,2018,Exhibition on Screen: Young Picasso,"$170,562",,"$170,562"
935,926,2008,CSNY: DÃ©jÃ  Vu,"$170,226","$65,025","$105,201"
936,927,2016,De Palma,"$168,042","$165,237","$2,805"
937,928,2017,No Stone Unturned,"$167,619",,"$167,619"
938,929,2010,Genius Within: The Inner Life of Glenn Gould,"$167,508","$167,508",
939,930,2013,Wild Africa 3D,"$167,161",,"$167,161"
940,931,2015,All Things Must Pass,"$166,872","$166,872",
941,932,2006,Our Brand is Crisis,"$166,750","$166,750",
942,933,2018,Far From the Tree,"$166,018","$166,018",
943,934,2017,Exhibition On Screen: Canaletto and the Art of …,"$165,365",,"$165,365"
944,935,2014,Nas: Time is Illmatic,"$164,540","$164,540",
945,936,2019,The Game Changers,"$163,738",,"$163,738"
946,937,2016,The Witness,"$163,092","$159,305","$3,787"
947,938,2006,Cocaine Cowboys,"$163,000","$163,000",
948,939,2018,El Misterio del Padre PÃ­o,"$162,924",,"$162,924"
949,940,2008,Girls Rock!,"$162,894","$159,294","$3,600"
950,941,2002,Hybrid,"$162,605","$162,605",
951,942,2014,Keep On Keepinâ On,"$162,530","$162,530",
952,943,2015,Vincent Van Gogh : A New Way of Seeing,"$162,482",,"$162,482"
953,944,2011,Magic Trip,"$161,897","$154,521","$7,376"
954,945,1983,Ziggy Stardust and the Spiders from Mars,"$161,634","$161,634",
955,946,2018,Libre,"$160,655",,"$160,655"
956,947,2003,Gigantic: A Tale of Two Johns,"$160,621","$160,621",
957,948,2020,The Booksellers,"$160,479","$25,694","$134,785"
958,949,2016,Eva Hesse,"$160,450","$157,481","$2,969"
959,950,2015,Journey to Space 3D,"$160,357",,"$160,357"
960,951,2017,Big Sonia,"$160,308","$160,308",
961,952,2019,The Cave,"$160,219","$62,625","$97,594"
962,953,2019,Exhibition on Screen: Rembrandt,"$159,882",,"$159,882"
963,954,2018,The Last Resort,"$158,646","$158,646",
964,955,2020,The Long Goodbye,"$157,346",,"$157,346"
965,956,2013,Free the Mind,"$157,077","$157,077",
966,957,2008,My Winnipeg,"$156,629","$156,629",
967,958,2009,The Horse Boy,"$156,612","$156,612",
968,959,2018,Hailongtun Tusi Fortress,"$156,145",,"$156,145"
969,960,1998,Blue Planet,"$155,016",,"$155,016"
970,961,2017,Exhibition On Screen: Hockney,"$154,996",,"$154,996"
971,962,2017,Conor McGregor: Notorious,"$154,816",,"$154,816"
972,963,2017,Whiteley,"$154,400",,"$154,400"
973,964,2018,Bad Reputation,"$154,187","$148,568","$5,619"
974,965,2018,Eating Animals,"$153,994","$149,614","$4,380"
975,966,2014,Citizen Koch,"$153,908","$153,908",
976,967,2013,Somm,"$153,620","$153,620",
977,968,2009,Brothers at War,"$153,148","$153,148",
978,969,2013,Deceptive Practice: The Mysteries and Mentors o…,"$152,449","$152,449",
979,970,2007,ShowBusiness: The Road to Broadway,"$151,792","$151,792",
980,971,2016,Generation Found,"$151,751","$151,751",
981,972,2018,The Great Buster,"$151,664","$144,199","$7,465"
982,973,2015,La glace et le ciel,"$151,518","$14,475","$137,043"
983,974,2019,Jay Myself,"$151,331","$151,331",
984,975,2011,Revenge of the Electric Car,"$150,886","$150,886",
985,976,2019,The River and the Wall,"$150,816","$150,816",
986,977,2016,Seed: The Untold Story,"$150,796","$145,443","$5,353"
987,978,2018,The Song Keepers,"$150,753",,"$150,753"
988,979,2019,Canova,"$150,158",,"$150,158"
989,980,2019,Itami Juneui Bada,"$149,568",,"$149,568"
990,981,2017,"Hare Krishna! The Mantra, The Movement and the …","$148,987","$133,006","$15,981"
991,982,2016,America Wild: National Parks Adventure,"$148,879",,"$148,879"
992,983,2015,How to Change the World,"$148,518",,"$148,518"
993,984,2019,Citizen K,"$148,374","$119,466","$28,908"
994,985,2020,White Riot,"$148,285",,"$148,285"
995,986,2017,Restless Creature: Wendy Whelan,"$147,780","$147,780",
996,987,2018,Mumungwan,"$147,650",,"$147,650"
997,988,2018,Andy Irons: Kissed by God,"$147,312",,"$147,312"
998,989,2020,Yuryeongseon,"$147,065",,"$147,065"
999,990,2019,Superpower Dogs,"$146,937",,"$146,937"
1000,991,2013,American Promise,"$146,702","$146,702",
1001,992,2017,Exhibition On Screen: The Artist's Garden: Amer…,"$146,532",,"$146,532"
1002,993,2018,The Last Stickman of Chongqing,"$146,050",,"$146,050"
1003,994,2019,Framing John DeLorean,"$145,626","$145,626",
1004,995,2017,The Last Dalai Lama?,"$145,513","$145,513",
1005,996,2013,Narco Cultura,"$145,088","$145,088",
1006,997,2013,The Punk Singer,"$144,676","$121,418","$23,258"
1007,998,2011,Thunder Soul,"$143,986","$143,986",
1008,999,2018,Nureyev,"$143,935",,"$143,935"
1009,"1,000",2017,The North of Peking,"$143,865",,"$143,865"
1010,,,,,,
1011,"1,001",2019,Nomuhyeongwa Babodeul,"$143,187",,"$143,187"
1012,"1,002",2014,Kids for Cash,"$143,178","$143,178",
1013,"1,003",2008,FLOW: For Love of Water,"$142,569","$142,569",
1014,"1,004",2016,Exhibition On Screen: The Curious World Of Hier…,"$141,832",,"$141,832"
1015,"1,005",2013,Spinning Plates,"$141,361","$99,127","$42,234"
1016,"1,006",2018,Turtle Odyssey 3d,"$141,256",,"$141,256"
1017,"1,007",2006,Crossing the Bridge: The Sound of Istanbul,"$140,685","$70,685","$70,000"
1018,"1,008",2016,Exhibition On Screen: Renoir: Revered And Reviled,"$140,137",,"$140,137"
1019,"1,009",2009,Art & Copy,"$139,418","$139,418",
1020,"1,010",2020,Who Will Write Our History,"$138,868","$138,039",$829
1021,"1,011",2013,Good Ol' Freda,"$138,811","$138,811",
1022,"1,012",2008,Patti Smith: Dream of Life,"$138,494","$6,703","$131,791"
1023,"1,013",2018,Myeoneuri: My Son's Crazy Wife,"$138,316",,"$138,316"
1024,"1,014",2005,Be Here to Love Me: A Film About Townes van Zandt,"$138,190","$129,424","$8,766"
1025,"1,015",2019,Exhibition On Screen: Leonardo - The Works,"$137,717",,"$137,717"
1026,"1,016",2015,We Are Many,"$137,567",,"$137,567"
1027,"1,017",2016,Footprints El Camino de tu Vida,"$137,446",,"$137,446"
1028,"1,018",2018,Nae Pasaran!,"$136,812",,"$136,812"
1029,"1,019",2018,O Processo,"$136,695",,"$136,695"
1030,"1,020",2005,Music from the Inside Out,"$136,594","$136,594",
1031,"1,021",2018,Warren Miller's Line of Descent,"$136,258",,"$136,258"
1032,"1,022",2006,What the Bleep?: Down the Rabbit Hole,"$135,706","$135,706",
1033,"1,023",2019,"River, El Mas Grande Siempre","$135,655",,"$135,655"
1034,"1,024",2020,The Times of Bill Cunningham,"$134,288","$134,288",
1035,"1,025",2015,Building Jerusalem,"$134,245",,"$134,245"
1036,"1,026",2015,Don't Think I've Forgotten: Cambodia's Lost Roc…,"$133,443","$133,443",
1037,"1,027",2012,How to Survive a Plague,"$133,389","$123,814","$9,575"
1038,"1,028",2014,Gore Vidal: The United States of Amnesia,"$133,296","$133,296",
1039,"1,029",2015,Warren Millerâs No Turning Back,"$133,172",,"$133,172"
1040,"1,030",2007,The Devil Came on Horseback,"$132,782","$132,782",
1041,"1,031",2006,Stolen,"$132,596","$132,596",
1042,"1,032",2015,A Ballerina's Tale,"$132,553","$131,995",$558
1043,"1,033",2008,Dalai Lama Renaissance,"$132,411","$132,411",
1044,"1,034",2013,Is the Man Who Is Tall Happy?,"$132,409","$132,409",
1045,"1,035",2017,Dawson City: Frozen Time,"$132,369","$132,369",
1046,"1,036",2012,KumarÃ©,"$131,909","$131,909",
1047,"1,037",2019,Be Natural: The Untold Story Of Alice Guy-BlachÃ©,"$131,336","$115,705","$15,631"
1048,"1,038",2020,La cravate,"$131,242",,"$131,242"
1049,"1,039",2018,L'insoumis,"$131,175",,"$131,175"
1050,"1,040",2009,Until the Light Takes Us,"$130,441","$130,441",
1051,"1,041",2016,Requiem for the American Dream,"$130,152","$130,152",
1052,"1,042",2017,Nothingwood,"$129,885",,"$129,885"
1053,"1,043",2013,Free Angela & All Political Prisoners,"$129,102","$129,102",
1054,"1,044",2017,The Search for Life in Space,"$128,781",,"$128,781"
1055,"1,045",2010,Stonewall Uprising,"$128,203","$128,203",
1056,"1,046",2014,1,"$127,810",,"$127,810"
1057,"1,047",2014,Next Goal Wins,"$127,671","$43,089","$84,582"
1058,"1,048",2017,Makala,"$127,277",,"$127,277"
1059,"1,049",2013,A Band Called Death,"$127,257","$127,257",
1060,"1,050",2006,Unknown White Male,"$126,836","$126,836",
1061,"1,051",2016,Wide Open Sky,"$126,535",,"$126,535"
1062,"1,052",2012,Escape Fire: The Fight to Rescue American Healt…,"$126,238","$126,238",
1063,"1,053",2007,Jimmy Carter: Man From Plains,"$125,843","$108,807","$17,036"
1064,"1,054",1991,Paris is Burning,"$125,677","$125,677",
1065,"1,055",2017,The B-Side,"$125,227","$125,227",
1066,"1,056",2019,Warren Miller's Face Of Winter,"$124,608",,"$124,608"
1067,"1,057",2019,A Tuba to Cuba,"$124,604","$121,772","$2,832"
1068,"1,058",2008,The First Saturday in May,"$124,294","$124,294",
1069,"1,059",2017,Seven Years-Journalism without Journalist,"$124,230",,"$124,230"
1070,"1,060",2014,Finding Fela!,"$123,862","$120,980","$2,882"
1071,"1,061",2015,Fotograf,"$123,672",,"$123,672"
1072,"1,062",2019,Thunderdome Never Dies,"$123,255",,"$123,255"
1073,"1,063",2011,The Last Mountain,"$122,959","$122,959",
1074,"1,064",2007,Manda Bala,"$122,905","$122,905",
1075,"1,065",2017,Don't Take Me Home,"$122,646",,"$122,646"
1076,"1,066",2018,The Price of Everything,"$122,638","$87,400","$35,238"
1077,"1,067",2018,Medvedi Kamchatki. Nachalo zhizni,"$122,576",,"$122,576"
1078,"1,068",2020,Mijn Rembrandt,"$121,860",,"$121,860"
1079,"1,069",2015,In Jackson Heights,"$121,094","$121,094",
1080,"1,070",2016,Miss Sharon Jones,"$120,880","$120,880",
1081,"1,071",2019,Free Trip to Egypt,"$120,780","$120,780",
1082,"1,072",2009,Examined Life,"$120,712","$120,712",
1083,"1,073",2014,The Overnighters,"$120,610","$110,764","$9,846"
1084,"1,074",2013,Spark: A Burning Man Story,"$120,459","$120,459",
1085,"1,075",2015,Alles unter Kontrolle,"$120,340",,"$120,340"
1086,"1,076",2004,Howard Zinn,"$120,250","$120,250",
1087,"1,077",2004,Aileen: Life and Death of a Serial Killer,"$118,973","$85,992","$32,981"
1088,"1,078",2018,Lâempire de la perfection,"$118,180","$90,964","$27,216"
1089,"1,079",2018,America,"$118,169",,"$118,169"
1090,"1,080",2018,Bisbee â17,"$117,470","$117,470",
1091,"1,081",2020,La innocÃ¨ncia,"$117,197",,"$117,197"
1092,"1,082",2013,Storm Surfers 3D,"$117,090","$117,090",
1093,"1,083",2006,Sir! No Sir!,"$116,944","$116,944",
1094,"1,084",2018,Chivas la pelÃ­cula,"$116,928",,"$116,928"
1095,"1,085",2010,The Big Uneasy,"$116,698","$116,698",
1096,"1,086",2012,Beware of Mr. Baker,"$116,476","$116,476",
1097,"1,087",2011,Blank City,"$116,037","$116,037",
1098,"1,088",2007,War Dance,"$115,928","$115,210",$718
1099,"1,089",2009,Throw Down Your Heart,"$115,778","$115,778",
1100,"1,090",2017,The Family,"$115,602",,"$115,602"
1101,"1,091",2018,â85 The Greatest Team in Football History,"$115,463","$115,463",
1102,"1,092",2019,La mafia non Ã¨ piÃ¹ quella di una volta,"$115,125",,"$115,125"
1103,"1,093",2017,NejsledovanÄjÅ¡Ã­,"$114,859",,"$114,859"
1104,"1,094",2019,The Brink,"$114,721","$106,059","$8,662"
1105,"1,095",2009,Ballerina,"$114,507","$114,507",
1106,"1,096",2016,The Fourth Phase,"$114,437",,"$114,437"
1107,"1,097",2005,After Innocence,"$114,264","$114,264",
1108,"1,098",2019,The Woman Who Loves Giraffes,"$113,858","$113,858",
1109,"1,099",2008,Bra Boys,"$113,730","$113,730",
1110,"1,100",2014,Banksy Does New York,"$113,575","$2,388","$111,187"
1111,,,,,,
1112,"1,101",2017,Abacus: Small Enough to Jail,"$113,279","$113,279",
1113,"1,102",2019,Volcanoes 3d: The Fires Of Creation,"$113,238",,"$113,238"
1114,"1,103",2009,Afghan Star,"$112,922","$102,115","$10,807"
1115,"1,104",2018,Filmworker,"$112,835","$102,609","$10,226"
1116,"1,105",2012,Follow Me: The Yoni Netanyahu Story,"$112,679","$112,679",
1117,"1,106",2018,"Hale County This Morning, This Evening","$112,300","$112,300",
1118,"1,107",2017,"Warren Miller's Here, There & Everywhere","$112,134",,"$112,134"
1119,"1,108",2010,Marwencol,"$112,036","$112,036",
1120,"1,109",2016,Zero Days,"$111,904","$109,649","$2,255"
1121,"1,110",2015,Do I Sound Gay?,"$111,829","$108,620","$3,209"
1122,"1,111",2013,Ain't in It for My Health: A Film About Levon Helm,"$111,794","$111,794",
1123,"1,112",2015,El boton de nacar,"$111,352","$42,166","$69,186"
1124,"1,113",2015,Warren Miller's Chasing Shadows,"$110,833",,"$110,833"
1125,"1,114",2004,In the Face of Evil,"$110,577","$110,577",
1126,"1,115",2016,Cameraperson,"$110,408","$102,033","$8,375"
1127,"1,116",2015,Het nieuwe Rijksmuseum,"$110,089","$40,578","$69,511"
1128,"1,117",2014,God the Father,"$109,508","$109,508",
1129,"1,118",2007,Darfur Now,"$109,107","$109,107",
1130,"1,119",2015,Bikes vs Cars,"$109,099","$28,072","$81,027"
1131,"1,120",2020,Schlingensief - In das Schweigen hineinschreien,"$109,000",,"$109,000"
1132,"1,121",2018,Caravaggio - L'anima e il sangue,"$108,324",,"$108,324"
1133,"1,122",2008,Trumbo,"$108,280","$108,280",
1134,"1,123",2013,Bettie Page Reveals All,"$108,118","$108,118",
1135,"1,124",2012,Steve Jobs: The Lost Interview,"$108,071","$105,710","$2,361"
1136,"1,125",2017,"Love, Cecil","$107,940","$106,057","$1,883"
1137,"1,126",2020,Peurangseuyeoja,"$107,869",,"$107,869"
1138,"1,127",2013,Vermeer and Music: The Art of Love and Leisure,"$107,771",,"$107,771"
1139,"1,128",1995,Tie-died: Rock 'n Roll's Most Deadicated Fans,"$107,528","$107,528",
1140,"1,129",2015,Lai De Ji Shuo Zai Jian,"$107,306",,"$107,306"
1141,"1,130",2016,Best Worst Thing That Ever Could Have Happened,"$106,986","$106,986",
1142,"1,131",2016,Vita Activa: The Spirit of Hannah Arendt,"$106,891","$82,143","$24,748"
1143,"1,132",2016,The Lovers And The Despot,"$106,626","$55,511","$51,115"
1144,"1,133",2009,The Way We Get By,"$106,542","$106,542",
1145,"1,134",2008,Bustin' Down the Door,"$106,100","$106,100",
1146,"1,135",2003,Fellini: Sono un Gran Bugiardo,"$106,080","$106,080",
1147,"1,136",2013,Big Star: Nothing Can Hurt Me,"$105,998","$105,998",
1148,"1,137",2019,Afrika na Pionieri,"$105,942",,"$105,942"
1149,"1,138",2007,I Have Never Forgotten You: The Life & Legacy o…,"$105,930","$105,930",
1150,"1,139",2019,Gauguin From The National Gallery London,"$105,693",,"$105,693"
1151,"1,140",2016,The Will to Fly,"$105,680",,"$105,680"
1152,"1,141",2008,A Jihad for Love,"$105,651","$105,651",
1153,"1,142",2020,Ahop seunim,"$105,398",,"$105,398"
1154,"1,143",1988,HÃ´tel Terminus,"$105,286","$105,286",
1155,"1,144",2020,Histoire d'un regard,"$105,276",,"$105,276"
1156,"1,145",2015,Exhibition on Screen: Goya â Visions of Flesh a…,"$105,113",,"$105,113"
1157,"1,146",2018,In the Underground,"$104,992",,"$104,992"
1158,"1,147",2019,Cold Case Hammarskjold,"$104,965","$104,965",
1159,"1,148",2010,Bhutto,"$104,818","$100,202","$4,616"
1160,"1,149",2019,Sabjil,"$104,682",,"$104,682"
1161,"1,150",2018,16 levers de soleil,"$104,117",,"$104,117"
1162,"1,151",2016,Notes on Blindness,"$104,094",,"$104,094"
1163,"1,152",2013,Les Salauds,"$104,026","$35,018","$69,008"
1164,"1,153",2007,Mr. Untouchable,"$103,590","$103,590",
1165,"1,154",2018,Exhibition on Screen: Van Gogh,"$103,508",,"$103,508"
1166,"1,155",2017,Blue,"$103,208",,"$103,208"
1167,"1,156",2006,Al Franken: God Spoke,"$102,990","$102,990",
1168,"1,157",2017,Tawai: A Voice from the Forest,"$102,909",,"$102,909"
1169,"1,158",2016,Strike a Pose,"$102,677",,"$102,677"
1170,"1,159",2009,Visual Acoustics,"$102,463","$102,463",
1171,"1,160",2015,Attabu 2,"$102,054",,"$102,054"
1172,"1,161",2017,Converso,"$102,027",,"$102,027"
1173,"1,162",2016,Bringing Tibet Home,"$101,580",,"$101,580"
1174,"1,163",2015,Beyond the Brick: A LEGO Brickumentary,"$101,531","$101,531",
1175,"1,164",2004,Guerrilla: The Taking of Patty Hearst,"$101,439","$101,439",
1176,"1,165",2014,Korengal,"$101,310","$101,310",
1177,"1,166",2019,Camino,"$101,078",,"$101,078"
1178,"1,167",2015,Twinsters,"$100,575",,"$100,575"
1179,"1,168",2013,One Track Heart: The Story of Krishna Das,"$100,401","$100,401",
1180,"1,169",2010,8: The Mormon Proposition,"$100,280","$100,280",
1181,"1,170",2011,Rejoice and Shout,"$100,237","$100,237",
1182,"1,171",2011,The Undefeated,"$100,085","$100,085",
1183,"1,172",2009,No Impact Man,"$100,028","$100,028",
1184,"1,173",2019,Inna de Yard,"$99,969",,"$99,969"
1185,"1,174",2014,Ivory Tower,"$99,555","$99,555",
1186,"1,175",1995,Theremin: An Electronic Odyssey,"$99,459","$99,459",
1187,"1,176",2018,2018 - The Best of IDFA on Tour 2017,"$99,304",,"$99,304"
1188,"1,177",2007,King Corn,"$99,279","$99,279",
1189,"1,178",2018,Nuostabieji LÅ«zeriai. Kita planeta,"$98,780",,"$98,780"
1190,"1,179",2009,Under Our Skin,"$98,548","$98,548",
1191,"1,180",2017,Aidaâs Secrets,"$98,468","$98,468",
1192,"1,181",2015,David Bowie is,"$98,340",,"$98,340"
1193,"1,182",2019,KIM-GUN,"$98,261",,"$98,261"
1194,"1,183",2017,I Called Him Morgan,"$97,711","$97,711",
1195,"1,184",2020,Adolescentes,"$97,645",,"$97,645"
1196,"1,185",2004,Carlos Castaneda: Enigma of a Sorcerer,"$97,447","$96,638",$809
1197,"1,186",2019,Skutok sa stal,"$97,262",,"$97,262"
1198,"1,187",2019,"Asbury Park: Riot, Redemption, Rock & Roll","$97,222",,"$97,222"
1199,"1,188",2015,La calle de los pianistas,"$97,124",,"$97,124"
1200,"1,189",2003,Stevie,"$97,044","$97,044",
1201,"1,190",1974,A Poem Is a Naked Person,"$96,774","$96,592",$182
1202,"1,191",2019,Jeronimo,"$96,771",,"$96,771"
1203,"1,192",2012,Hating Breitbart,"$96,728","$96,728",
1204,"1,193",2015,Sunshine Superman,"$96,707","$88,097","$8,610"
1205,"1,194",2016,Author: The JT LeRoy Story,"$96,604","$85,999","$10,605"
1206,"1,195",2017,Dina,"$96,507","$90,491","$6,016"
1207,"1,196",2011,My Reincarnation,"$96,115","$92,822","$3,293"
1208,"1,197",2008,Louise Bourgeois,"$95,865","$95,865",
1209,"1,198",2020,Notturno,"$95,756",,"$95,756"
1210,"1,199",2018,Why Are We Creative: The Centipede\'s Dilemma,"$95,567",,"$95,567"
1211,"1,200",2011,Nickyho rodina,"$95,262",,"$95,262"
